Question,Answer
"A 64 yr. old male twists his knee and is treated with a Non-prescription medication, and is sent for further diagnostic purposes (MRI). Upon completion of the MRI it is determined that there was no injury to the knee but the patient was diagnosed with arthritis and treated with a prescription strength medication for the arthritis. Is this a recordable case?","If the arthritis is wholly caused by non-work factors, then it is not work-related and should not be recorded in the OSHA records."
A company has been notified that an employee may have been exposed to TB while overseas while working. Is this a recordable case?,"No. Employers are only required to record injuries and illnesses if they occur within the geographic coverage of the OSH Act. The Occupational Safety and Health Act, and therefore the OSHA Recordkeeping Regulation, apply only within the jurisdictional boundaries of the United States as defined in Section 4(a) of the Act. If the exposure had occurred in the United States, the case would be recordable if that employee subsequently developed a tuberculosis infection, as evidenced by a positive skin test or diagnosis by a physician or other licensed health care professional."
A company is located with multiple buildings within one complex. Can I produce one log for the complex or do I need to have one log for each building?,"You may complete one log for the complex. Generally, there should be one log per ""establishment"". An establishment is defined as a single physical location and can include campus and complex type locations."
"A corporation pays a licensed professional to offer massage on-site as an employee benefit. The employee chooses by their own to see the on-site professional. Because the work the employee does is physical, he benefits from the soft tissue therapy and uses the service as needed. When should an employee's condition be categorized as recordable upon receipt of the massage?",Massage therapy is considered first aid and is included as item M in the rule's first aid list. Message therapy does not make a case recordable.
"A doctor places an employee on restricted duty but the employer can not accommodate the restrictions and, as a result, the employee is losing time. Are the lost days recorded as lost time or restricted duty?","You must count the days as days away from work. To count days as restricted days, restricted work activity must be made available to the employee."
"A dust particle is removed from the eye using a cotton swab, but prescription eye drops are given to prevent the possibility of infection. Do the eye drops make the case recordable even though they were only precautionary?","Yes, the case is recordable. Any use of RX medicine in treating a work-related injury or illness is considered medical treatment regardless of purpose prescribed."
"A health care worker was exposed to pertussis and was given an antibiotic by a medical provider as a preventative measure. We know that the mere exposure is not recordable. However, does the fact that the antibiotic was given make it recordable?","If an employee is exposed to pertussis (or other communicable diseases) and does NOT exhibit any symptoms of the disease, the administration of prophylactic antibiotics does not make the case recordable. Please note if the employee shows ANY signs or symptoms of the disease and is given antibiotics, then the case is recordable."
A host employer has contracted employees for their nursing services. The host employer supervises the contracted employees on a day-to-day basis. Would the fact that the company that provides the contract employees has an office on the host's physical location affect the decision on who records the injuries and illnesses of these workers?,No. The host company must record the injuries and illnesses of these workers because the host provides the day-to-day supervision.
A part time employee who works an average of 18 hours per week is injured. She is put on restrictions. Would I count each day that she has been on restrictions or just count 2-3 days per week because that's how many days she normally works?,"You must count the number of calendar days the employee was restricted as a result of the injury, regardless of whether or not the employee was scheduled to work on those day(s)."
A person is injured at work and is away from work as a result. During that time the person develops depression and is unable to come back to work. The person has a diagnosis from a physician which says that it is a mental health disorder related to the injury. Is the depression recorded as a separate case?,"Because the depression is a manifestation of the original injury, and no additional or new work exposure caused or contributed to the depression, it does not meet the ""new case"" criteria. Any time away from work associated with the depression would be included on the originally recorded case."
"A physician has diagnosed an employee with carpal tunnel syndrome. There has been no lost/restricted/transfer days or medical treatment beyond first aid. Does carpal tunnel in this case fall under 1904.7(b)(7) as a ""significant injury or illness diagnosed by a physician""?",No. Carpal tunnel syndrome is not considered a significant injury or illness as defined under 1904.7(b)(7). Work-related CTS is recordable if it meets one or more of the general recording criteria (medical treatment beyond first aid; days away from work; restricted work activity; job transfer).
"A physician includes in a worker's restrictions ""no driving"" and the worker stays home even though he could take public transportation, or get a ride to work from a co-worker. Would those days be counted as days restricted or days away from work?","The case must be recorded in a manner reflecting what actually occurs. If the employee does not make it to work, the case must be recorded as a case involving days away from work. If the employee is driven to work by the employer or anyone else, and the employee performs restricted work, the case must be recorded as a case involving restricted work activity."
A resident in our nursing home bit a staff member. The skin of the staff member was broke. We conducted standard washing of the wound and an HIV test was given. There was no loss of work. Should this incident be logged on the OSHA 300?,"No. A human bite is recordable only if it requires medical treatment beyond first aid, restrictions, or days away from work or if it results in a loss of consciousness."
"A salesman, who works out of his private home, slips and falls on ice in his driveway. The employee states he was carrying company property at the time of his fall. Is this work-related?","No. Injuries and illnesses that occur while an employee is working at home are considered work-related if the injury or illness occurs while the employee is performing work for pay or compensation in the home, and the injury or illness is directly related to the performance of work rather than to the general home environment or setting. Ice outside the home is part of the general home setting."
A supervisor was shouting at an employee. The employee felt stressed and his general doctor told him to take some time off from work. Is this an OSHA 300 recordable case?,"Mental illnesses, such as depression or anxiety disorder, that have work-related stress as a contributing factor, are recordable if the employee voluntarily provides the employer with an opinion from a physician or other licensed health care professional with appropriate training and experience (psychiatrist, psychologist, psychiatric nurse practitioner, etc.) stating that the employee has a mental illness that is work-related, and the case meets one or more of the general recording criteria."
A temporary worker is injured and has a job restriction recommended by the physician. The temporary services placement agency reassigns the person to another job in another company where the person can be more productive. Does the injury count as one day of restricted work activity or do you estimate the number of days of restriction that would have been needed?,Since the worker was reassigned because of the injury you must estimate the number of days of restricted work activity that would have been needed and use that estimate as your entry.
A worker got his nail half broken off while handling the steel rods at a construction site. He was given first aid and the remainder of the nail was removed by a medical practitioner as a precautionary measure to avoid any infection. Is this recordable?,Yes. Removal of the nail is considered medical treatment beyond first aid. Note that drilling of the fingernail to relieve pressure for subungual hematoma is considered First Aid.
A worker has an exposure in the work environment and it causes an allergic reaction. The worker then uses their prescribed epipen or inhaler. Does the use of this device make this a recordable case?,Yes.  An allergic reaction to an exposure in the work environment is recordable once they used their prescription medication (epinephrine / inhaler).
"A worker is participating in a ""lineman's rodeo"", sponsored by the employer, on the employer's property, but not on company time. The worker falls and injures his back and breaks his leg. He is off work for weeks. Is this an OSHA recordable injury?","You are not required to record an injury or illness if the injury or illness results solely from voluntary participation in a recreational activity. Conversely, if the employee was at the rodeo as a condition of employment, the case would be work related and recordable."
"A worker receives a laceration on a work site. The worker is seen by the on-site nurse, who assesses the laceration injury and deems it treatable through the use of non-invasive means (e.g. steri-strips and/or Band-Aids). After work on the same day, the worker goes to the hospital for another assessment of the injury. The physician at the hospital assesses and decides to suture the wound. Is the employer permitted to deem the on-site nurse as having the most authoritative opinion, and therefore, able to classify the injury as a first aid and not a medical treatment?","If the two examinations in the scenario meet the following criteria, the employer may rely on the first opinion as the most authoritative: It is imperative that the physicians involved in the examination of the employee see the exact same condition. If the employee's condition either improves or worsens between the examinations the concept does not apply. Several criteria must be met to ensure the medical professionals involved are seeing the same condition: 1) Examination of the patient must be in person (i.e. review of documents only cannot be substituted for a physical examination); 2) The examinations must be contemporaneous; 3) The employee was not subject to additional exposures between the examinations; and 4) No medical treatment, restricted work activity, or days away from work occurred between the examinations. If any one of these criteria is not met, it is likely the health care professionals are not seeing the same condition. If all of these criteria are met the employer may relay on the most authoritative medical opinion. OSHA will consider a medical opinion that is the best documented, best reasoned and most persuasive as the most authoritative opinion."
"A worker was walking down the office corridor, tripped and required medical treatment for a twisted ankle. There was nothing in the workplace that caused the fall (no tripping hazards, no slippery floor, no uneven surface, nothing or anyone on his way). Is this recordable?","OSHA's no-fault recordkeeping system requires recording work-related injuries and illnesses that occur in the work environment, regardless of the level of employer control or non-control involved. A case is presumed work-related if, and only if, an event or exposure in the work environment is a discernable cause of the injury or illness. The act of tripping is a clear event within the work environment that caused the injury, establishing work relatedness."
An employee arrived at work 45 minutes early one day and had a bug bite him on the finger. It turned a little red. The nurse wiped it off with an alcohol swab gave him some prescription antibiotic cream for one application. Is this an OSHA recordable case?,Yes. For purposes of OSHA recordkeeping injuries and illnesses occurring in the work environment are considered work-related. Punching in and out with a time clock (or signing in and out) does not affect the outcome for determining work-relatedness. The prescription antibiotic is considered medical treatment beyond first aid.
"An employee arrives for work. As she is walking across the parking lot prior to the start of her shift, she is bitten by a wasp/bee and has an allergic reaction. She is taken to the doctor where she is given an injection and a prescription. Is this case recordable?","Yes, this is a recordable case. The parking lot is considered part of the establishment and thus the work environment. Punching in/out on a time clock does not determine work relatedness. The bee sting is considered a work related injury and the employee was administered a prescription, which is medical treatment."
An employee bumped his knee on machine guard door. Several days later went to the doctors due to swelling. During the visit the physician drains 3cc of fluid from the employee's knee. Is this recordable?,"Yes. Draining fluids is considered medical treatment except for relieving pressure from a fingernail or toenail, or draining fluid from a blister."
"An employee claims he hurt himself at work. He takes it upon himself to take one or two days off using his own personal time. He does not provide us with any medical documentation to back up his being unable to work and claims he doesn't need to see a doctor, he just want to rest for a day or two. Do we need to record this as a days away from work case if we question that there is no medical evidence that he needed the time off?",The employee's decision does not determine the outcome for recordability. Nor is a medical opinion required in this situation. The employer must make a good faith decision as to whether the employee needed the days away from work for recuperation or not and record appropriately.
